Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Neustadtelite,"Bi2Fe3+(Fe3+,Co)2(O,OH)4(AsO4)2","Bi2Fe(Fe,Co)2(O,OH)4(AsO4)2",Neu,
Nezilovite,Pb[Mn4+2Fe3+7AlZn2]O19,Pb[Mn2Fe7AlZn2]O19,Než,
Nickelskutterudite,"(Ni,Co,Fe)As3","(Ni,Co,Fe)As3",Nskt,
Nickeltsumcorite,"Pb(Ni,Fe3+)2(AsO4)2(H2O,OH)2","Pb(Ni,Fe)2(AsO4)2(H2O,OH)2",Ntsm,
Nickolayite,FeMoP,FeMoP,Nkl,
Nikischerite,Fe2+6Al3(OH)18[Na(H2O)6](SO4)2·6H2O,Fe6Al3(OH)18[Na(H2O)6](SO4)2·6H2O,Nik,
Nikmelnikovite,Ca12Fe2+Fe3+3Al3(SiO4)6(OH)20,Ca12FeFe3Al3(SiO4)6(OH)20,Nmn,Ca12Fe4Al3(SiO4)6(OH)20
Nioboaeschynite-(Y),"(Y,REE,Ca,Th,Fe)(Nb,Ti,Ta)2(O,OH)6","(Y,REE,Ca,Th,Fe)(Nb,Ti,Ta)2(O,OH)6",Naes-Y,
Niobophyllite,"K2NaFe2+7(Nb,Ti)2(Si4O12)2O2(OH)4(O,F)","K2NaFe7(Nb,Ti)2(Si4O12)2O2(OH)4(O,F)",Nbp,
Noggerathite-(Ce),"(Ce,Ca)2Zr2(Nb,Ti)(Ti,Nb)2Fe2+O14","(Ce,Ca)2Zr2(Nb,Ti)(Ti,Nb)2FeO14",Nög-Ce,
Nolanite,V3+8Fe3+2O14(OH)2,V8Fe2O14(OH)2,Nol,
Nontronite,"Na0.3Fe3+2(Si,Al)4O10(OH)2·nH2O","Na0.3Fe2(Si,Al)4O10(OH)2·nH2O",Non,
Normandite,"Na2Ca2(Mn,Fe)2(Ti,Nb,Zr)2(Si2O7)2O2F2","Na2Ca2(Mn,Fe)2(Ti,Nb,Zr)2(Si2O7)2O2F2",Nmd,
Nukundamite,Cu3.4Fe0.6S4,Cu3.4Fe0.6S4,Nuk,
Oberwolfachite,SrFe3+3(AsO4)(SO4)(OH)6,SrFe3(AsO4)(SO4)(OH)6,,
Obradovicite-KCu,[K2(H2O)17Cu(H2O)6][Mo8As2Fe3+3O34(OH)3],[K2(H2O)17Cu(H2O)6][Mo8As2Fe3O34(OH)3],Obr-KCu,
Obradovicite-NaCu,[Na2(H2O)17Cu(H2O)6][Mo8As2Fe3+3O34(OH)3],[Na2(H2O)17Cu(H2O)6][Mo8As2Fe3O34(OH)3],Obr-NaCu,
Obradovicite-NaNa,[Na2(H2O)16Na(H2O)6][Mo8As2Fe3+3O33(OH)4],[Na2(H2O)16Na(H2O)6][Mo8As2Fe3O33(OH)4],Obr-NaNa,
Odinite,"(Fe3+,Mg,Al,Fe2+)2.5(Si,Al)2O5(OH)4","(Fe,Mg,Al,Fe)2.5(Si,Al)2O5(OH)4",Odn,
Ogdensburgite,Ca2Fe3+4Zn(AsO4)4(OH)6·6H2O,Ca2Fe4Zn(AsO4)4(OH)6·6H2O,Obu,
Ohmilite,"Sr3(Ti,Fe3+)(Si2O6)2(O,OH)·2H2O","Sr3(Ti,Fe)(Si2O6)2(O,OH)·2H2O",Oh,
Ojuelaite,ZnFe3+2(AsO4)2(OH)2·4H2O,ZnFe2(AsO4)2(OH)2·4H2O,Ojl,
Okanoganite-(Y),"(Y,REE,Ca,Na,Th)16(Fe3+,Ti)(Si,B,P)10(O,OH)38F10","(Y,REE,Ca,Na,Th)16(Fe,Ti)(Si,B,P)10(O,OH)38F10",Oka-Y,
Oldsite,K2Fe2+[(UO2)(SO4)2]2(H2O)8,K2Fe[(UO2)(SO4)2]2(H2O)8,Ods,
Olmsteadite,KFe2+2NbO2(PO4)2·2H2O,KFe2NbO2(PO4)2·2H2O,Osd,
Omariniite,Cu8Fe2ZnGe2S12,Cu8Fe2ZnGe2S12,Oma,
Ominelite,Fe2+Al3O2(BO3)(SiO4),FeAl3O2(BO3)(SiO4),Omi,
Omphacite,"(Ca,Na)(Mg,Fe,Al)Si2O6","(Ca,Na)(Mg,Fe,Al)Si2O6",Omp,
Omsite,Ni2Fe3+(OH)6[Sb(OH)6],Ni2Fe(OH)6[Sb(OH)6],Om,
Oneillite,"Na15Ca3Mn3Fe3Zr3Nb(Si25O73)(O,OH,H2O)3(OH,Cl)2","Na15Ca3Mn3Fe3Zr3Nb(Si25O73)(O,OH,H2O)3(OH,Cl)2",One,
Ophirite,Ca2Mg4[Zn2Mn3+2(H2O)2(Fe3+W9O34)2]·46H2O,Ca2Mg4[Zn2Mn2(H2O)2(FeW9O34)2]·46H2O,Oph,
Orebroite,Mn2+6(Sb5+Fe3+)(SiO4)2O6,Mn6(SbFe)(SiO4)2O6,Öbr,
Oregonite,FeNi2As2,FeNi2As2,Ore,
Orickite,CuFeS2·nH2O,CuFeS2·nH2O,Ori,
Orthojoaquinite-(Ce),"NaBa2Fe2+Ce2Ti2(SiO3)8O2(O,OH)·H2O","NaBa2FeCe2Ti2(SiO3)8O2(O,OH)·H2O",Ojq-Ce,
Orthojoaquinite-(La),"NaBa2Fe2+La2Ti2(SiO3)8O2(OH,O,F)·H2O","NaBa2FeLa2Ti2(SiO3)8O2(OH,O,F)·H2O",Ojq-La,
Osumilite,KFe2(Al5Si10)O30,KFe2(Al5Si10)O30,Osm,
Ovamboite,Cu10Fe3WGe3S16,Cu10Fe3WGe3S16,Ova,
Owensite,"(Ba,Pb)6(Cu1+,Fe,Ni)25S27","(Ba,Pb)6(Cu,Fe,Ni)25S27",Owe,
Oxo-magnesio-hastingsite,NaCa2(Mg2Fe3+3)(Si6Al2)O22O2,NaCa2(Mg2Fe3)(Si6Al2)O22O2,Omhst,
Oxy-foitite,[box](Fe2+Al2)Al6(Si6O18)(BO3)3(OH)3O," (FeAl2)Al6(Si6O18)(BO3)3(OH)3O",Ofoi,
Oxyphlogopite,"K(Mg,Ti,Fe)3[(Si,Al)4O10](O,F)2","K(Mg,Ti,Fe)3[(Si,Al)4O10](O,F)2",Ophl,
Oxy-schorl,Na(Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3O,Na(Fe2Al)Al6(Si6O18)(BO3)3(OH)3O,Osrl,
Ozernovskite,Fe3+4(Te4+O4)(Te4+O3)4·7H2O,Fe4(TeO4)(TeO3)4·7H2O,Ozn,
Panethite,"(Na,Ca,K)1-x(Mg,Fe2+,Mn)PO4","(Na,Ca,K)1-x(Mg,Fe,Mn)PO4",Pne,
Pansnerite,K3Na3Fe3+6(AsO4)8,K3Na3Fe6(AsO4)8,Pns,
Parabutlerite,Fe3+(SO4)(OH)·2H2O,Fe(SO4)(OH)·2H2O,Pbtl,
Paracoquimbite,Fe3+4(SO4)6(H2O)12·6H2O,Fe4(SO4)6(H2O)12·6H2O,Pcoq,
Paraershovite,Na3K3Fe3+2(Si4O10OH)2(OH)2(H2O)4,Na3K3Fe2(Si4O10OH)2(OH)2(H2O)4,Psh,
Parahibbingite,Fe2+2(OH)3Cl,Fe2(OH)3Cl,Phib,β-Fe2(OH)3Cl
Parakuzmenkoite-Fe,"(K,Ba)8Fe4Ti16(Si4O12)8(OH,O)16·20-28H2O","(K,Ba)8Fe4Ti16(Si4O12)8(OH,O)16·20-28H2O",Pkz-Fe,
Paramendozavilite,NaAl4Fe7(PO4)5(PMo12O40)(OH)16·56H2O,NaAl4Fe7(PO4)5(PMo12O40)(OH)16·56H2O,Pmdz,
Parascorodite,Fe3+(AsO4)·2H2O,Fe(AsO4)·2H2O,Pscd
Parasymplesite,Fe2+3(AsO4)2·8H2O,Fe3(AsO4)2·8H2O,Psym,
Paravauxite,Fe2+Al2(PO4)2(OH)2·8H2O,FeAl2(PO4)2(OH)2·8H2O,Pvx,
Paravinogradovite,"(Na,[box])2(Ti4+,Fe3+)4(Si2O6)2(Si3AlO10)(OH)4·H2O","(Na, )2(Ti,Fe)4(Si2O6)2(Si3AlO10)(OH)4·H2O",Pvgd,
Paseroite,"Pb(Mn2+,[box])(Fe3+,[box])2(V5+,Ti4+,[box])18O38","Pb(Mn, )(Fe, )2(V,Ti, )18O38",Psr,
Pattersonite,PbFe3(PO4)2(OH)5·H2O,PbFe3(PO4)2(OH)5·H2O,Patt,
Paulgrothite,Cu9Fe3+O4(PO4)4Cl,Cu9FeO4(PO4)4Cl,Plgr,
Paulkellerite,Bi3+2Fe3+O2(PO4)(OH)2,Bi2FeO2(PO4)(OH)2,Pkl,
Paulkerrite,KMg2TiFe3+2(PO4)4(OH)3·15H2O,KMg2TiFe2(PO4)4(OH)3·15H2O,Pke,
Pautovite,CsFe2S3,CsFe2S3,Ptv,
Pellyite,Ba2CaFe2+2Si6O17,Ba2CaFe2Si6O17,Ply,
Penobsquisite,Ca2Fe2+[B9O13(OH)6]Cl·4H2O,Ca2Fe[B9O13(OH)6]Cl·4H2O,Pnb,
Pentlandite,"(Ni,Fe)9S8","(Ni,Fe)9S8",Pn,
Perboeite-(Ce),(CaCe3)(Al3Fe2+)(Si2O7)(SiO4)3O(OH)2,(CaCe3)(Al3Fe)(Si2O7)(SiO4)3O(OH)2,Pbø-Ce,
Perboeite-(La),(CaLa3)(Al3Fe2+)[Si2O7][SiO4]3O(OH)2,(CaLa3)(Al3Fe)[Si2O7][SiO4]3O(OH)2,Pbø-La,
Perettiite-(Y),Y2Mn2+4Fe2+Si2B8O24,Y2Mn4FeSi2B8O24,Ptt-Y,
Perloffite,BaMn2+2Fe3+2(PO4)3(OH)3,BaMn2Fe2(PO4)3(OH)3,Plf,
Perrierite-(Ce),Ce4MgFe3+2Ti2O8(Si2O7)2,Ce4MgFe2Ti2O8(Si2O7)2,Prr-Ce,
Perrierite-(La),"(La,Ce,Ca)4(Fe2+,Mn)(Ti,Fe3+,Al)4[(Si2O7)O4]2","(La,Ce,Ca)4(Fe,Mn)(Ti,Fe,Al)4[(Si2O7)O4]2",Prr-La,
Perryite,"(Ni,Fe)8(Si,P)3","(Ni,Fe)8(Si,P)3",Pry,
Pertlikite,"K2(Fe2+,Mg)2(Mg,Fe3+)4Fe3+2Al(SO4)12·18H2O","K2(Fe,Mg)2(Mg,Fe)4Fe2Al(SO4)12·18H2O",Plk,
Petrukite,"(Cu,Ag)2(Fe,Zn)(Sn,In)S4","(Cu,Ag)2(Fe,Zn)(Sn,In)S4",Ptk,
Petscheckite,U4+Fe2+Nb2O8,UFeNb2O8,Psk,
Pharmacosiderite,KFe3+4(AsO4)3(OH)4·6-7H2O,KFe4(AsO4)3(OH)4·6-7H2O,Pmsd,
Philoxenite,"(K,Na,Pb)4(Na,Ca)2(Mg,Cu)3(Fe3+0.5Al0.5)(SO4)8","(K,Na,Pb)4(Na,Ca)2(Mg,Cu)3(Fe0.5Al0.5)(SO4)8",Pxn,
Phosphocyclite-(Fe),Fe2+2(P4O12),Fe2(P4O12),Pc-Fe,
Phosphoferrite,Fe2+3(PO4)2·3H2O,Fe3(PO4)2·3H2O,Phf,
Phosphofibrite,"(H2O,K)3.5Fe3+8(PO4)6(OH)7·5H2O","(H2O,K)3.5Fe8(PO4)6(OH)7·5H2O",Pfb,
Phosphogartrellite,"PbCuFe3+(PO4)2(OH,H2O)2","PbCuFe(PO4)2(OH,H2O)2",Pgtl,
Phosphophyllite,Zn2Fe2+(PO4)2·4H2O,Zn2Fe(PO4)2·4H2O,Pp,
Phosphosiderite,Fe3+(PO4)·2H2O,Fe(PO4)·2H2O,Phsd,
Phyllotungstite,HCaFe3+3(WO4)6·10H2O,HCaFe3(WO4)6·10H2O,Ptgs,
Picotpaulite,TlFe2S3,TlFe2S3,Pcp,
Pigeonite,"(Mg,Fe,Ca)2Si2O6","(Mg,Fe,Ca)2Si2O6",Pgt,
Pisekite-(Y),"(Y,As,Ca,Fe,U)(Nb,Ti,Ta)O4","(Y,As,Ca,Fe,U)(Nb,Ti,Ta)O4",Pís-Y,
Pitticite,"[Fe,AsO4,SO4,H2O] (?)","[Fe,AsO4,SO4,H2O] (?)",Ptc,
Pittongite,"(Na,H2O)0.7(W,Fe3+)(O,OH)3","(Na,H2O)0.7(W,Fe)(O,OH)3",Pit,
Pizgrischite,"(Cu,Fe)Cu14PbBi17S34","(Cu,Fe)Cu14PbBi17S34",Piz,
Plimerite,Zn2Fe3+3(PO4)3(OH)4(H2O),Zn2Fe3(PO4)3(OH)4(H2O),Pme,
Plumboferrite,Pb[Fe3+10.67Mn2+0.33Pb]O18.33,Pb[Fe10.67Mn0.33Pb]O18.33,Pfr,
Plumbojarosite,Pb0.5Fe3+3(SO4)2(OH)6,Pb0.5Fe3(SO4)2(OH)6,Pjrs,
Plumboperloffite,PbMn2+2Fe3+2(PO4)3(OH)3,PbMn2Fe2(PO4)3(OH)3,Pplf,
Plumbopharmacosiderite,Pb0.5Fe3+4(AsO4)3(OH)4·5H2O,Pb0.5Fe4(AsO4)3(OH)4·5H2O,Ppsd,
Polkovicite,"(Fe,Pb)3(Ge,Fe)1-xS4","(Fe,Pb)3(Ge,Fe)1-xS4",Pk,
Potassic-arfvedsonite,KNa2(Fe2+4Fe3+)Si8O22(OH)2,KNa2(Fe4Fe)Si8O22(OH)2,Parf,
Potassic-chloro-hastingsite,KCa2(Fe2+4Fe3+)(Si6Al2)O22Cl2,KCa2(Fe4Fe)(Si6Al2)O22Cl2,Pchst,
Potassic-ferri-leakeite,KNa2(Mg2Fe3+2Li)Si8O22(OH)2,KNa2(Mg2Fe2Li)Si8O22(OH)2,Pflk,
Potassic-ferro-ferri-sadanagaite,KCa2(Fe2+3Fe3+2)(Si5Al3)O22(OH)2,KCa2(Fe3Fe2)(Si5Al3)O22(OH)2,Pffsdg,
Potassic-ferro-ferri-taramite,K(NaCa)(Fe2+3Fe3+2)(Si6Al2)O22(OH)2,K(NaCa)(Fe3Fe2)(Si6Al2)O22(OH)2,Pfftrm,
Potassic-ferro-pargasite,KCa2(Fe2+4Al)(Si6Al2)O22(OH)2,KCa2(Fe4Al)(Si6Al2)O22(OH)2,Pfprg,
Potassic-ferro-sadanagaite,KCa2(Fe2+3Al2)(Si5Al3)O22(OH)2,KCa2(Fe3Al2)(Si5Al3)O22(OH)2,Pfsdg,
Potassic-ferro-taramite,K(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2,K(NaCa)(Fe3Al2)(Si6Al2)O22(OH)2,Pftrm,
Potassic-fluoro-hastingsite,KCa2(Fe2+4Fe3+)(Si6Al2)O22F2,KCa2(Fe4Fe)(Si6Al2)O22F2,Pfhst,
Potassic-hastingsite,KCa2(Fe2+4Fe3+)(Si6Al2)O22(OH)2,KCa2(Fe4Fe)(Si6Al2)O22(OH)2,Phst,
Potassic-magnesio-arfvedsonite,KNa2(Mg4Fe3+)Si8O22(OH)2,KNa2(Mg4Fe)Si8O22(OH)2,Pmarf,
Potassic-magnesio-fluoro-arfvedsonite,KNa2(Mg4Fe3+)Si8O22F2,KNa2(Mg4Fe)Si8O22F2,Pmfarf,
Potassic-magnesio-hastingsite,KCa2(Mg4Fe3+)(Si6Al2)O22(OH)2,KCa2(Mg4Fe)(Si6Al2)O22(OH)2,Pmhst,
Poughite,Fe3+2(Te4+O3)2(SO4)·3H2O,Fe2(TeO3)2(SO4)·3H2O,Pgh,
Povondraite,NaFe3+3(Fe3+4Mg2)(Si6O18)(BO3)3(OH)3O,NaFe3(Fe4Mg2)(Si6O18)(BO3)3(OH)3O,Pov,
Priderite,K(Ti7Fe3+)O16,K(Ti7Fe)O16,Pdr,
Prismatine,"(Mg,Al,Fe)6Al4(Si,Al)4(B,Si,Al)(O,OH,F)22","(Mg,Al,Fe)6Al4(Si,Al)4(B,Si,Al)(O,OH,F)22",Prm,
Proshchenkoite-(Y),"(Y,REE,Ca,Na,Mn)15Fe2+Ca(P,Si)Si6B3(O,F)48","(Y,REE,Ca,Na,Mn)15FeCa(P,Si)Si6B3(O,F)48",Pck-Y,
Proto-ferro-anthophyllite,[box]Fe2+2Fe2+5Si8O22(OH)2," Fe2Fe5Si8O22(OH)2",Pfath,
Proto-ferro-suenoite,[box]Mn2+2Fe2+5Si8O22(OH)2," Mn2Fe5Si8O22(OH)2",Pfsue,
Proxidecagonite,Al34Ni9Fe2,Al34Ni9Fe2,Pdec,
Pseudobrookite,(Fe3+2Ti)O5,(Fe2Ti)O5,Pbrk,Fe2TiO5
Pseudolaueite,Mn2+Fe3+2(PO4)2(OH)2·8H2O,MnFe2(PO4)2(OH)2·8H2O,Plae,
Pseudorutile,Fe3+2Ti4+3O9,Fe2Ti3O9,Pdrt,
Pumpellyite-(Fe2+),"Ca2Fe2+Al2(Si2O7)(SiO4)(OH,O)2·H2O","Ca2FeAl2(Si2O7)(SiO4)(OH,O)2·H2O",Pmp-Fe2+,
Pumpellyite-(Fe3+),"Ca2Fe3+Al2(Si2O7)(SiO4)(OH,O)2·H2O","Ca2FeAl2(Si2O7)(SiO4)(OH,O)2·H2O",Pmp-Fe3+,
Putoranite,Cu1.1Fe1.2S2,Cu1.1Fe1.2S2,Put,
Pyracmonite,(NH4)3Fe(SO4)3,(NH4)3Fe(SO4)3,Pyr,
Pyrite,FeS2,FeS2,Py,
Pyroaurite,Mg6Fe3+2(CO3)(OH)16·4H2O,Mg6Fe2(CO3)(OH)16·4H2O,Pya,
Pyrosmalite-(Fe),Fe2+8Si6O15(OH)10,Fe8Si6O15(OH)10,Pys-Fe,
Pyroxferroite,Fe2+SiO3,FeSiO3,Pxf,
Pyrrhotite,Fe7S8,Fe7S8,Pyh,Fe1-xS
Qandilite,"(Mg,Fe3+)2(Ti,Fe3+,Al)O4","(Mg,Fe)2(Ti,Fe,Al)O4",Qnd,
Qeltite,Ca3TiSi2(Fe3+2Si)O14,Ca3TiSi2(Fe2Si)O14,,
Qitianlingite,Fe2+2Nb2W6+O10,Fe2Nb2WO10,Qit,
Quenstedtite,Fe3+2(SO4)3·11H2O,Fe2(SO4)3·11H2O,Qst,
Radekskodaite-(Ce),(CaCe5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3,(CaCe5)(Al4Fe)[Si2O7][SiO4]5O(OH)3,Ršk-Ce,
Radekskodaite-(La),(CaLa5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3,(CaLa5)(Al4Fe)[Si2O7][SiO4]5O(OH)3,Ršk-La,
Radovanite,Cu2Fe3+[As5+O4][As3+O2(OH)]2·H2O,Cu2Fe[AsO4][AsO2(OH)]2·H2O,Rdv,
Raguinite,TlFeS2,TlFeS2,Rgu,
Ramdohrite,Pb5.9Fe0.1Mn0.1In0.1Cd0.2Ag2.8Sb10.8S24,Pb5.9Fe0.1Mn0.1In0.1Cd0.2Ag2.8Sb10.8S24,Rdh,
Rankachite,"Ca0.5(V4+,V5+)(W6+,Fe3+)2O8(OH)·2H2O","Ca0.5(V,V)(W,Fe)2O8(OH)·2H2O",Rka,
Ransomite,CuFe3+2(SO4)4·6H2O,CuFe2(SO4)4·6H2O,Rns,
Raslakite,"Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)Si25O73(OH,H2O)3(Cl,OH)","Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)Si25O73(OH,H2O)3(Cl,OH)",Rsk,
Rastsvetaevite,"Na27K8Ca12Fe3Zr6Si52O144(OH,O)6Cl2","Na27K8Ca12Fe3Zr6Si52O144(OH,O)6Cl2",Rvt,
Rasvumite,KFe2S3,KFe2S3,Rsv,
Redingtonite,Fe2+Cr2(SO4)4·22H2O,FeCr2(SO4)4·22H2O,Rdt,
Reevesite,Ni6Fe3+2(CO3)(OH)16·4H2O,Ni6Fe2(CO3)(OH)16·4H2O,Rvs,
Renierite,"(Cu1+,Zn)11Fe4(Ge4+,As5+)2S16","(Cu,Zn)11Fe4(Ge,As)2S16",Ren,
Rhodostannite,Cu1+(Fe2+0.5Sn4+1.5)S4,Cu(Fe0.5Sn1.5)S4,Rhs,
Rhomboclase,(H5O2)Fe3+(SO4)2·2H2O,(H5O2)Fe(SO4)2·2H2O,Rbc,
Rhonite,Ca4[Mg8Fe3+2Ti2]O4[Si6Al6O36],Ca4[Mg8Fe2Ti2]O4[Si6Al6O36],Rhö,
Richellite,"CaFe3+2(PO4)2(OH,F)2","CaFe2(PO4)2(OH,F)2",Rhe,
Richetite,"(Fe3+,Mg)xPb2+8.6(UO2)36O36(OH)24·41H2O","(Fe,Mg)xPb8.6(UO2)36O36(OH)24·41H2O",Rht,
Riebeckite,[box]Na2(Fe2+3Fe3+2)Si8O22(OH)2," Na2(Fe3Fe2)Si8O22(OH)2",Rbk,
Rietveldite,Fe(UO2)(SO4)2(H2O)5,Fe(UO2)(SO4)2(H2O)5,Rvd,
Rinmanite,Mg2Fe4Zn2Sb2O14(OH)2,Mg2Fe4Zn2Sb2O14(OH)2,Rnm,
Rinneite,K3NaFe2+Cl6,K3NaFeCl6,Rne,
Rittmannite,"(Mn2+,Ca)Mn2+(Fe2+,Mn2+,Mg)2(Al,Fe3+)2(PO4)4(OH)2·8H2O","(Mn,Ca)Mn(Fe,Mn,Mg)2(Al,Fe)2(PO4)4(OH)2·8H2O",Rit,
Roaldite,"(Fe,Ni)4N","(Fe,Ni)4N",Roa,
Rockbridgeite,(Fe2+0.5Fe3+0.5)2Fe3+3(PO4)3(OH)5,(Fe0.5Fe0.5)2Fe3(PO4)3(OH)5,Rkb,
Rodalquilarite,H3Fe3+2(Te4+O3)4Cl,H3Fe2(TeO3)4Cl,Raq,
Rodolicoite,Fe3+(PO4),Fe(PO4),Rdl,
Rokuhnite,FeCl2·2H2O,FeCl2·2H2O,Rok,
Romerite,Fe2+Fe3+2(SO4)4·14H2O,FeFe2(SO4)4·14H2O,Röm,Fe3(SO4)4·14H2O
Rosemaryite,[box]NaMn2+(Fe3+Al)(PO4)3," NaMn(FeAl)(PO4)3",Rmy,
Rossovskyite,"(Fe3+,Ta)(Nb,Ti)O4","(Fe,Ta)(Nb,Ti)O4",Rvy,
Rowlandite-(Y),Fe2+Y4(Si2O7)2F2,FeY4(Si2O7)2F2,Row-Y,
Rozenite,Fe2+(SO4)·4H2O,Fe(SO4)·4H2O,Rzn,FeSO4·4H2O
Rudashevskyite,"(Fe,Zn)S","(Fe,Zn)S",Rud,
Rudolfhermannite,Fe3+2(Te4+O3)3·H2O,Fe2(TeO3)3·H2O,Rhr,
Ruifrancoite,"Ca2([box],Mn)2(Fe3+,Mn,Mg)4Be4(PO4)6(OH)6·4H2O","Ca2( ,Mn)2(Fe,Mn,Mg)4Be4(PO4)6(OH)6·4H2O",Rui,
Rusakovite,"(Fe,Al)5(VO4)2(OH)9·3H2O","(Fe,Al)5(VO4)2(OH)9·3H2O",Rko,
Sabieite,(NH4)Fe3+(SO4)2,(NH4)Fe(SO4)2,Sbi,
Sakuraiite,"(Cu,Zn,Fe)3(In,Sn)S4","(Cu,Zn,Fe)3(In,Sn)S4",Sak,
Samaniite,Cu2Fe5Ni2S8,Cu2Fe5Ni2S8,Smn,
Samarskite-(Y),YFe3+Nb2O8,YFeNb2O8,Smk-Y,
Santabarbaraite,Fe3+3(PO4)2(OH)3·5H2O,Fe3(PO4)2(OH)3·5H2O,Sbb,
Santafeite,"(Ca,Sr,Na)3(Mn2+,Fe3+)2Mn4+2(VO4)4(OH,O)5·2H2O","(Ca,Sr,Na)3(Mn,Fe)2Mn2(VO4)4(OH,O)5·2H2O",Sfe,
Saponite,"(Ca,Na)0.3(Mg,Fe)3(Si,Al)4O10(OH)2·4H2O","(Ca,Na)0.3(Mg,Fe)3(Si,Al)4O10(OH)2·4H2O",Sap,
Saranovskite,SrCaFe2+ 2(Cr4Ti2)Ti12O38,SrCaFe 2(Cr4Ti2)Ti12O38,Svs,
Sarcopside,Fe2+3(PO4)2,Fe3(PO4)2,Sar,
Sarmientite,Fe3+2(AsO4)(SO4)(OH)·5H2O,Fe2(AsO4)(SO4)(OH)·5H2O,Smi,
Sarrochite,[Ca4(H2O)38][Mo8P2Fe3+3O37(OH)],[Ca4(H2O)38][Mo8P2Fe3O37(OH)],Sarr,
Satterlyite,"(Fe2+,Mg,Fe3+)12(PO3OH)(PO4)5(OH,O)6","(Fe,Mg,Fe)12(PO3OH)(PO4)5(OH,O)6",Sly,
Scandiobabingtonite,"(Ca,Na)2(Fe2+,Mn)(Sc,Fe3+)Si5O14(OH)","(Ca,Na)2(Fe,Mn)(Sc,Fe)Si5O14(OH)",Sbab,
Schafarzikite,Fe2+(Sb3+)2O4,Fe(Sb)2O4,Sfz,
Schmidite,Zn(Fe3+0.5Mn2+0.5)2ZnFe3+(PO4)3(OH)3(H2O)8,Zn(Fe0.5Mn0.5)2ZnFe(PO4)3(OH)3(H2O)8,Smd,
Schneiderhohnite,Fe2+Fe3+3As3+5O13,FeFe3As5O13,Snh,Fe4As5O13
Schoonerite,ZnMn2+Fe2+2Fe3+(PO4)3(OH)2(H2O)7·2H2O,ZnMnFe2Fe(PO4)3(OH)2(H2O)7·2H2O,Soo,
Schorl,NaFe2+3Al6(Si6O18)(BO3)3(OH)3(OH),NaFe3Al6(Si6O18)(BO3)3(OH)3(OH),Srl,
Schorlomite,Ca3Ti2(SiFe3+2)O12,Ca3Ti2(SiFe2)O12,Slo,
Schreibersite,"(Fe,Ni)3P","(Fe,Ni)3P",Scb,
Schubnelite,Fe3+(V5+O4)·H2O,Fe(VO4)·H2O,Shb,
Schwertmannite,Fe3+16O16(OH)9.6(SO4)3.2·10H2O,Fe16O16(OH)9.6(SO4)3.2·10H2O,Swm,"Fe3+16(OH,SO4)12-13O16·10-12H2O"
Scordariite,K8(Fe3+0.67[box]0.33)[Fe3+3O(SO4)6(H2O)3]2(H2O)11,K8(Fe0.67 0.33)[Fe3O(SO4)6(H2O)3]2(H2O)11,Sda,
Scorodite,Fe3+(AsO4)·2H2O,Fe(AsO4)·2H2O,Scd,FeAsO4·2H2O
Scorzalite,Fe2+Al2(PO4)2(OH)2,FeAl2(PO4)2(OH)2,Scz,
Segelerite,CaMgFe3+(PO4)2(OH)·4H2O,CaMgFe(PO4)2(OH)·4H2O,Sgl,
Segnitite,PbFe3+3(AsO4)(AsO3OH)(OH)6,PbFe3(AsO4)(AsO3OH)(OH)6,Sgt,
Seinajokite,FeSb2,FeSb2,Sjk,
Sekaninaite,Fe2+2Al4Si5O18,Fe2Al4Si5O18,Skn,
Selivanovaite,NaFe3+Ti4(Si2O7)2O4(H2O)4,NaFeTi4(Si2O7)2O4(H2O)4,Svn,
Selsurtite,(H3O)12Na3(Ca3Mn3)(Na2Fe)Zr3[box]Si[Si24O69(OH)3](OH)Cl·H2O,(H3O)12Na3(Ca3Mn3)(Na2Fe)Zr3 Si[Si24O69(OH)3](OH)Cl·H2O,Ssu,
Semenovite-(Ce),"(Na,Ca)9Fe2+Ce2(Si,Be)20(O,OH,F)48","(Na,Ca)9FeCe2(Si,Be)20(O,OH,F)48",Smv-Ce,
Senaite,"Pb(Mn,Y,U)(Fe,Zn)2(Ti,Fe,Cr,V)18(O,OH)38","Pb(Mn,Y,U)(Fe,Zn)2(Ti,Fe,Cr,V)18(O,OH)38",Sna,
Sergevanite,Na15(Ca3Mn3)(Na2Fe)Zr3Si26O72(OH)3·H2O,Na15(Ca3Mn3)(Na2Fe)Zr3Si26O72(OH)3·H2O,Sgv,
Sewardite,CaFe3+2(AsO4)2(OH)2,CaFe2(AsO4)2(OH)2,Sew,
Shadlunite,"(Fe,Cu)8(Pb,Cd)S8","(Fe,Cu)8(Pb,Cd)S8",Slu,
