Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Cervandonite-(Ce),"(Ce,Nd,La)(Fe3+,Ti,Fe2+,Al)3O2(Si2O7)1-x+y(AsO3)1+x-y(OH)3x-3y","(Ce,Nd,La)(Fe,Ti,Fe,Al)3O2(Si2O7)1-x+y(AsO3)x-y(OH)3x-3y",Cvd-Ce,
Cesarferreiraite,Fe2+Fe3+2(AsO4)2(OH)2·8H2O,FeFe2(AsO4)2(OH)2·8H2O,Céf,Fe3(AsO4)2(OH)2·8H2O
Chaidamuite,ZnFe3+(SO4)2(OH)·4H2O,ZnFe(SO4)2(OH)·4H2O,Cdm,
Chalcopyrite,CuFeS2,CuFeS2,Ccp,
Chalcosiderite,CuFe3+6(PO4)4(OH)8·4H2O,CuFe6(PO4)4(OH)8·4H2O,Csd,
Chalcothallite,"(Cu,Fe,Ag)6.3(Tl,K)2SbS4","(Cu,Fe,Ag)6.3(Tl,K)2SbS4",Ccth,
Chameanite,"(Cu,Fe)4As(Se,S)4","(Cu,Fe)4As(Se,S)4",Céa,
Chamosite,"(Fe2+,Mg,Al,Fe3+)6(Si,Al)4O10(OH,O)8","(Fe,Mg,Al,Fe)6(Si,Al)4O10(OH,O)8",Chm,
Changesite-(Y),(Ca8Y)[box]Fe2+(PO4)7,(Ca8Y) Fe(PO4)7,Cgs-Y,
Chapmanite,Fe3+2Sb3+(Si2O5)O3(OH),Fe2Sb(Si2O5)O3(OH),Cpm,
Chatkalite,Cu6FeSn2S8,Cu6FeSn2S8,Ctk,
Chayesite,KMg4Fe3+[Si12O30],KMg4Fe[Si12O30],Cys,
Chenevixite,CuFe3+(AsO4)(OH)2,CuFe(AsO4)(OH)2,Cvx,
Chengdeite,Ir3Fe,Ir3Fe,Cgd,
Chenguodaite,Ag9FeTe2S4,Ag9FeTe2S4,Cgu,
Chenmingite,FeCr2O4,FeCr2O4,Cnm,
Chestermanite,"Mg2(Fe3+,Mg,Al,Sb5+)O2(BO3)","Mg2(Fe,Mg,Al,Sb)O2(BO3)",Csm,
Chevkinite-(Ce),"Ce4(Ti,Fe2+,Fe3+)5O8(Si2O7)2","Ce4(Ti,Fe,Fe)5O8(Si2O7)2",Cvk-Ce,
Chihuahuaite,FeAl12O19,FeAl12O19,Cih,
Childrenite,Fe2+Al(PO4)(OH)2·H2O,FeAl(PO4)(OH)2·H2O,Chd,
Chirvinskyite,"(Na,Ca)13(Fe,Mn,[box])2Ti2(Zr,Ti)3(Si2O7)4(OH,O,F)12","(Na,Ca)13(Fe,Mn, )2Ti2(Zr,Ti)3(Si2O7)4(OH,O,F)12",Cvs,
Chlorbartonite,K6Fe24S26Cl,K6Fe24S26Cl,Cbtn,
Chloritoid,Fe2+Al2O(SiO4)(OH)2,FeAl2O(SiO4)(OH)2,Cld,
